City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Cap Malheureux,MU,80.01,-19.9842,57.6142,Pereybere Hotel & Spa
11,Rikitea,PF,77.74,-23.1203,-134.9692,Pension Maro'i
16,Kavieng,PG,85.44,-2.5744,150.7967,Nusa Island Retreat
20,Miri,MY,78.8,4.4148,114.0089,"Mega Hotel, Miri"
22,Avarua,CK,84.2,-21.2078,-159.775,Paradise Inn
24,Georgetown,MY,81.0,5.4112,100.3354,Cititel Penang
26,Ugoofaaru,MV,80.1,5.6667,73.0,Ungoofaaru Inn
28,Arraial Do Cabo,BR,75.61,-22.9661,-42.0278,Pousada Porto Praia
30,Atuona,PF,77.85,-9.8,-139.0333,Villa Enata
33,Alofi,NU,86.0,-19.0595,-169.9187,Taloa Heights
42,Matara,LK,77.11,5.9485,80.5353,Amaloh Boutique Resort
44,Queanbeyan,AU,90.0,-35.35,149.2333,Parkway Motel
46,Kapaa,US,77.0,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
48,Sao Joao Da Barra,BR,76.01,-21.6403,-41.0511,Pousada Porto De Canoas
51,Puerto Ayora,EC,75.99,-0.7393,-90.3518,Castillo Galapagos
52,Butaritari,KI,81.66,3.0707,172.7902,Isles Sunset Lodge
59,Fomboni,KM,82.47,-12.28,43.7425,Auberge les abou
61,Poum,NC,81.9,-20.2333,164.0167,Gîte kajeon
68,Vao,NC,76.3,-22.6667,167.4833,Hotel Kou-Bugny
74,Monrovia,LR,78.08,6.3005,-10.7969,Sunset Inn
75,Lorengau,PG,86.0,-2.0226,147.2712,Lorengau Harbourside Hotel
77,Saint-Philippe,RE,80.6,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
78,Merauke,ID,86.31,-8.4667,140.3333,
91,Puerto Colombia,CO,78.8,10.9878,-74.9547,Hotel El Emigrante
94,Phuket,TH,82.99,8.0,98.25,The Surin Phuket
95,Marawi,PH,77.99,7.9986,124.2928,Derogongan Residence
96,Pak Phanang,TH,78.8,8.3511,100.20200000000001,Green Park Inn Hotel
102,Manado,ID,89.6,1.4869999999999999,124.8455,Aryaduta Hotel
105,Mahebourg,MU,77.0,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
113,Mataura,NZ,77.0,-46.1927,168.8643,Ellie's Villa
118,Carnarvon,AU,84.2,-24.8667,113.6333,Hospitality Carnarvon
127,Hilo,US,80.6,19.7297,-155.09,Hilo Hawaiian Hotel
129,Mahanoro,MG,77.41,-19.9,48.8,BUNGALOW MAHAMANINA
131,Vaini,TO,86.0,-21.2,-175.2,Keleti Beach Resort
134,Faanui,PF,81.63,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
141,Kroya,ID,80.78,-7.6331,109.2461,RUSTANTO Fam
143,Trinidad,BO,75.49,-14.8333,-64.9,Hotel Piesta
152,Morant Bay,JM,80.6,17.8815,-76.4093,Whispering Bamboo Cove Resort
171,Grand Gaube,MU,80.01,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
177,Cockburn Town,TC,77.72,21.4612,-71.1419,Osprey Beach Hotel
179,Biak,ID,83.88,-0.9131,122.8766,Penginapan Kim
180,Villa Carlos Paz,AR,75.99,-31.4241,-64.4978,Monte Carlo
181,Mandurah,AU,79.0,-32.55,115.7,Atrium Hotel Mandurah
183,Galle,LK,78.37,6.0367,80.217,Amangalla
185,Padang,ID,85.46,-0.9492,100.3543,Mercure Padang
193,Ternate,ID,84.88,0.8,127.4,Grand Dafam Bela Ternate
203,Port Blair,IN,80.85,11.6667,92.75,Welcomhotel Bay Island Port Blair
210,Bambous Virieux,MU,80.01,-20.3428,57.7575,Casa Tia Villa
218,Manokwari,ID,84.76,-0.8667,134.0833,Swiss Belhotel Manokwari
220,Porto Novo,BJ,80.6,6.4965,2.6036,Tour Eiffel Hotel Benin
222,Ulladulla,AU,90.0,-35.35,150.4667,Sandpiper Motel
226,Dingle,PH,81.41,10.9995,122.6711,SEGAYA PROPERTY
232,Oriximina,BR,75.79,-1.7656,-55.8661,Pousada Tia Amélia
233,Bengkulu,ID,81.36,-3.8004,102.2655,Grage Hotel Bengkulu
243,Nieuw Amsterdam,SR,78.01,5.8833,-55.0833,Hotel Stardust
245,Acapulco,MX,80.6,16.8634,-99.8901,HS Hotsson Smart Acapulco
246,Cariacica,BR,77.0,-20.2639,-40.42,Eletricista aliandro da empresa Agluz serviços eletricos em geral
247,Nacala,MZ,77.61,-14.5428,40.6728,Nacala Plaza Business Design Hotel
255,Kirakira,SB,84.87,-10.4544,161.9205,SanBiz Lodge
259,Carutapera,BR,78.26,-1.195,-46.02,Lidera
263,Le Port,RE,77.0,-20.9373,55.2919,Villa Maido
277,Hithadhoo,MV,82.06,-0.6,73.0833,Scoop Guest House
279,Santa Isabel Do Rio Negro,BR,75.67,-0.4139,-65.0192,Hotel GSA
280,Kloulklubed,PW,84.2,7.0419,134.2556,Storyboard Beach Resort
282,Inhambane,MZ,77.18,-23.865,35.3833,Oceano
287,Fare,PF,81.55,-16.7,-151.0167,Maitai Lapita Village Huahine
288,Port Augusta,AU,80.01,-32.5,137.7667,Majestic Oasis Apartments
292,Nicoya,CR,80.6,10.1483,-85.45200000000001,Guayacan Real
294,Mana,GF,76.77,5.6592,-53.7767,LE SAMANA
295,Kavaratti,IN,80.33,10.5669,72.642,Hotels in Lakshadweep Islands
309,Gigmoto,PH,78.31,13.7796,124.39,Cj's Travellers Inn
313,Touros,BR,77.0,-5.1989,-35.4608,INN NEW HORIZON
314,Kollam,IN,80.6,8.8833,76.6,The Raviz Ashtamudi
328,Auki,SB,87.15,-8.7676,160.7034,Auki Motel
330,Pemangkat,ID,76.42,1.1667,108.9667,Kost H.Syamsuddin
332,Jovellar,PH,76.24,13.0695,123.5999,Tay Jose AgriTourism Park
337,Tarakan,ID,80.6,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
339,Isangel,VU,86.0,-19.55,169.2667,Volcano Sea View Tree House
340,Teahupoo,PF,86.0,-17.8333,-149.2667,Vanira Lodge
345,Bireun,ID,80.4,5.202999999999999,96.7009,Hotel Fajar
352,Cabadiangan,PH,83.25,9.7531,122.4739,Kipot
357,Broken Hill,AU,78.8,-31.95,141.4333,Royal Exchange Hotel
362,Boa Vista,BR,78.8,2.8197,-60.6733,Aipana Plaza Hotel
364,Byron Bay,AU,84.0,-28.65,153.6167,Backpackers Inn on the Beach
365,Kahului,US,82.4,20.8947,-156.47,Maui Seaside Hotel
366,Pemba,MZ,77.0,-12.974,40.5178,Guesthouse Samotina
373,Port-Gentil,GA,78.24,-0.7193,8.7815,Fengshui Residence
376,Bien Hoa,VN,78.8,10.95,106.8167,OYO 991 Duy Anh Hotel
377,Kampot,KH,78.8,10.6167,104.1833,Two Moons Hotel
378,Samarai,PG,84.24,-10.6167,150.6667,Nuli Sapi
386,Mackay,AU,86.0,-21.15,149.2,International Lodge Motel
392,Quatre Cocos,MU,80.01,-20.2078,57.7625,Emeraude Beach Attitude Hotel
394,Namatanai,PG,85.62,-3.6667,152.4333,Namatanai Hotel
412,Cayenne,GF,78.8,4.9333,-52.3333,Hôtel Le Dronmi
413,Rio Verde De Mato Grosso,BR,75.16,-18.9181,-54.8442,Hotel Valência
417,Cururupu,BR,76.12,-1.8283,-44.8683,Pousada Través'cia
421,Tual,ID,83.34,-5.6667,132.75,Grand Vilia Hotel
422,Tanete,ID,87.67,-3.9443,119.7848,Wisma Tri Multi
432,Sambava,MG,76.96,-14.2667,50.1667,Melrose
441,Cabedelo,BR,77.0,-6.9811,-34.8339,Lua Mansa Pousada
444,Souillac,MU,77.0,-20.5167,57.5167,Shanti Maurice Resort & Spa
446,Becerril,CO,77.14,9.7041,-73.2793,Barrio El Carmen
456,Bacolod,PH,80.89,10.6667,122.95,Planta Hotel & Residences
457,Itarema,BR,78.49,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
460,Samana,DO,75.6,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
465,Iracoubo,GF,77.41,5.4802,-53.2011,Le Gite D Iracoubo
466,Hambantota,LK,77.0,6.1241,81.1185,Bungalow 63
476,Conde,BR,77.0,-7.2597,-34.9075,Pousada Beija Flor
480,Coolum Beach,AU,82.99,-26.5333,153.1,Palmer Coolum Resort
482,Honiara,SB,86.41,-9.4333,159.95,Heritage Park Hotel
483,Bubaque,GW,78.15,11.2833,-15.8333,"Casa Dora, Bubaque"
488,Kattivakkam,IN,78.8,13.2167,80.3167,Raj's villa
489,Bac Lieu,VN,77.22,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
495,Oistins,BB,80.6,13.0667,-59.5333,Butterfly Beach Hotel
502,Labuhan,ID,82.76,-6.8844,112.2051,PT PPI Lamongan Tambak C
509,Victoria Point,AU,84.0,-27.5833,153.3,Bay Retreat Motel
511,General Roca,AR,75.2,-39.0333,-67.5833,Hotel El Recreo
513,Bitung,ID,89.6,1.4451,125.1824,K2 Lembeh
519,Kieta,PG,86.27,-6.2167,155.6333,
520,Poso,ID,87.71,-1.3959,120.7524,Hotel 77 Poso
527,Neiafu,TO,86.0,-18.65,-173.9833,Mystic Sands
530,Olinda,BR,78.8,-8.0089,-34.8553,Flat Quatro Rodas Olinda
533,Banda Aceh,ID,81.91,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
534,Kailua,US,80.6,21.4022,-157.7394,Sheffield House Bed & Breakfast
536,Kimbe,PG,83.84,-5.5502,150.1429,Kimbe Bay Hotel
539,Airai,TL,75.56,-8.9266,125.4092,Juvinal Martin
541,Wahiawa,US,80.6,21.5028,-158.0236,Aloha Wahiawa
543,Te Anau,NZ,75.25,-45.4167,167.7167,Kingsgate Hotel Te Anau
545,Majene,ID,83.89,-3.5403,118.9707,Kost Putri RABBANI
547,Nileshwar,IN,77.67,12.25,75.1,Neeleshwar Hermitage
549,Tabuleiro Do Norte,BR,76.95,-5.2467,-38.1306,Hotel Central I
551,Meulaboh,ID,80.98,4.1363,96.1285,Kost Pria
553,Nhulunbuy,AU,89.6,-12.2333,136.7667,East Arnhem Real Estate
556,Ransang,PH,84.43,8.9603,117.5828,
562,Dawei,MM,80.1,14.0833,98.2,Hotel Dawei
576,Takoradi,GH,78.19,4.8845,-1.7554,Raybow International Hotel
582,Bambanglipuro,ID,83.93,-7.95,110.2833,Puri Brata
585,Nambucca Heads,AU,86.0,-30.65,153.0,Marcel Towers Holiday Apartments
593,Maxixe,MZ,76.21,-23.8597,35.3472,Oceano
598,Bathsheba,BB,80.6,13.2167,-59.5167,Atlantis Hotel
610,Madang,PG,84.09,-5.2246,145.7966,Comfort Inn Hotel
614,Pointe-Noire,CG,76.19,-4.7761,11.8635,Kactus Lodge
616,Sawakin,SD,76.41,19.1059,37.3321,فندق الدويم
622,Makakilo City,US,80.6,21.3469,-158.0858,Marriott's Ko Olina Beach Club
626,Boyolangu,ID,83.05,-8.1181,111.8935,Yos ega cv
629,Bowen,AU,84.2,-20.0167,148.2333,Castle Motor Lodge Motel
630,Voh,NC,81.34,-20.9667,164.7,Le gîte du Koniambo
634,Tabou,CI,77.05,4.423,-7.3528,hotêl doufoulougou
643,Mitsamiouli,KM,80.85,-11.3847,43.2844,Foyer ADM
650,Kulhudhuffushi,MV,80.35,6.6221,73.07,Haajy Guest House 1
655,Bontang,ID,83.88,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
658,Vila Velha,BR,77.0,-20.3297,-40.2925,Hotel Vitória Palace
668,Bonoua,CI,77.0,5.2741,-3.595,Hotel Bon Samaritian
680,Lodwar,KE,78.53,3.1191,35.5973,Turkwel Lodge
688,West Bay,KY,78.8,19.3667,-81.4167,Calypso Cove
692,Moerai,PF,79.79,-22.4333,-151.3333,Le Manotel
693,Curup,ID,76.66,-3.4667,102.5333,Ayi The Costel
702,Luganville,VU,85.71,-15.5333,167.1667,The Espiritu Hotel
706,Thio,NC,80.6,-21.6167,166.2167,La Ferme de Thio
713,Madimba,TZ,78.37,-10.4,40.3333,
715,Sola,VU,82.96,-13.8833,167.55,Leumerus Bungalows
717,Sembakung,ID,80.6,3.8167,117.25,
722,Kaeo,NZ,75.0,-35.1,173.7833,Bushido Lodge
