City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,33.01,68,100,3.74,US,2021-01-14 02:46:37
1,Caravelas,-17.7125,-39.2481,74.66,85,0,4.79,BR,2021-01-14 02:46:37
2,Cap Malheureux,-19.9842,57.6142,80.01,76,6,5.99,MU,2021-01-14 02:46:37
3,Torbay,47.6666,-52.7314,30.0,93,90,6.91,CA,2021-01-14 02:46:37
4,Talcahuano,-36.7167,-73.1167,57.2,72,0,13.8,CL,2021-01-14 02:41:58
5,Ushuaia,-54.8,-68.3,51.8,76,40,4.61,AR,2021-01-14 02:46:37
6,Lompoc,34.6391,-120.4579,66.2,82,1,8.14,US,2021-01-14 02:45:06
7,Fortuna,40.5982,-124.1573,55.99,100,90,1.81,US,2021-01-14 02:46:37
8,Jamestown,42.097,-79.2353,37.0,75,1,8.05,US,2021-01-14 02:46:37
9,Aykhal,66.0,111.5,-28.01,82,100,10.25,RU,2021-01-14 02:46:37
10,Amapa,1.0,-52.0,71.8,98,19,1.97,BR,2021-01-14 02:46:37
11,Rikitea,-23.1203,-134.9692,77.74,76,89,12.28,PF,2021-01-14 02:45:58
12,Qaanaaq,77.484,-69.3632,-2.6,78,0,4.52,GL,2021-01-14 02:46:37
13,Bilma,18.6853,12.9164,61.63,45,100,13.71,NE,2021-01-14 02:42:30
14,Busselton,-33.65,115.3333,71.01,43,100,5.99,AU,2021-01-14 02:46:37
15,Sendafa,9.15,39.0333,53.6,58,20,0.27,ET,2021-01-14 02:46:37
16,Kavieng,-2.5744,150.7967,85.44,68,68,13.44,PG,2021-01-14 02:46:37
17,Barranca,-10.75,-77.7667,69.6,87,100,3.76,PE,2021-01-14 02:46:38
18,Jalu,29.0331,21.5482,53.94,61,62,17.2,LY,2021-01-14 02:46:38
19,Tochtepec,18.8333,-97.8167,55.02,76,18,6.76,MX,2021-01-14 02:46:38
20,Miri,4.4148,114.0089,78.8,94,40,4.61,MY,2021-01-14 02:46:38
21,Tuktoyaktuk,69.4541,-133.0374,-13.0,84,75,4.61,CA,2021-01-14 02:46:38
22,Avarua,-21.2078,-159.775,84.2,70,75,19.57,CK,2021-01-14 02:44:24
23,Hohhot,40.8106,111.6522,23.0,46,98,4.47,CN,2021-01-14 02:46:38
24,Georgetown,5.4112,100.3354,81.0,78,20,1.14,MY,2021-01-14 02:42:03
25,Hobart,-42.8794,147.3294,73.99,37,40,16.11,AU,2021-01-14 02:46:01
26,Ugoofaaru,5.6667,73.0,80.1,75,97,2.55,MV,2021-01-14 02:46:38
27,Bluff,-46.6,168.3333,61.88,78,13,5.59,NZ,2021-01-14 02:46:38
28,Arraial Do Cabo,-22.9661,-42.0278,75.61,89,20,18.63,BR,2021-01-14 02:46:38
29,San Cristobal,7.7669,-72.225,62.62,85,96,1.72,VE,2021-01-14 02:46:38
30,Atuona,-9.8,-139.0333,77.85,77,13,13.51,PF,2021-01-14 02:46:38
31,Tezu,27.9167,96.1667,69.24,37,0,2.62,IN,2021-01-14 02:46:38
